Date1	Interest_Rate_US	Date2	Interest_Rate_Euro	Date3	Inflation_US	Date4	Inflation_Euro	Date5	Annual_Consumption_US	Date6	Annual_Consumption_Euro	Date7	Total_Cap_Ex_US	Date8	Total_Cap_Ex_Euro	Date8	Savings_Rate_US	Savings_Rate_Euro_Area
1995-01-01	6.580	1995-01-01	8.729166666666660	1995-01-01	2.805419688536550	1995-01-01	4.4266455028665600	1995-01-01	59551.20	1995-01-01	32246.06	1995-01-01	2211305.00	1995-01-01	1240582.81	1995-01-01	6.975	4.606447704
1996-01-01	6.438	1996-01-01	7.232500000000000	1996-01-01	2.931204199934400	1996-01-01	3.5588408311729300	1996-01-01	62935.20	1996-01-01	33812.16	1996-01-01	2374263.00	1996-01-01	1281557.69	1996-01-01	6.550	4.948438864
1997-01-01	6.353	1997-01-01	5.958333333333330	1997-01-01	2.337689937307410	1997-01-01	3.1120779195327400	1997-01-01	66441.40	1997-01-01	34434.57	1997-01-01	2580649.00	1997-01-01	1306399.63	1997-01-01	6.325	6.045306765
1998-01-01	5.264	1998-01-01	4.703333333333330	1998-01-01	1.552279098743620	1998-01-01	2.4155178723923200	1998-01-01	70527.00	1998-01-01	35715.46	1998-01-01	2802305.00	1998-01-01	1387312.33	1998-01-01	6.800	6.391639648
1999-01-01	5.637	1999-01-01	4.655150000000000	1999-01-01	2.188027196973580	1999-01-01	2.1571791805505600	1999-01-01	75349.00	1999-01-01	37475.24	1999-01-01	3050031.00	1999-01-01	1488492.75	1999-01-01	5.025	6.390477447
2000-01-01	6.029	2000-01-01	5.438875000000000	2000-01-01	3.376857271499350	2000-01-01	3.1507670702259200	2000-01-01	81145.80	2000-01-01	39474.23	2000-01-01	3296828.00	2000-01-01	1597298.26	2000-01-01	4.800	7.827378789
2001-01-01	5.018	2001-01-01	5.027300000000000	2001-01-01	2.826171118854020	2001-01-01	3.3739669903828100	2001-01-01	84787.60	2001-01-01	41186.23	2001-01-01	3233401.00	2001-01-01	1639502.18	2001-01-01	5.025	7.788470399
2002-01-01	4.611	2002-01-01	4.922908333333330	2002-01-01	1.586031626506030	2002-01-01	2.4244366121969400	2002-01-01	88112.20	2002-01-01	42278.62	2002-01-01	3298678.00	2002-01-01	1642170.17	2002-01-01	5.800	7.100098577
2003-01-01	4.015	2003-01-01	4.160858333333330	2003-01-01	2.270094973361130	2003-01-01	2.0919983899765800	2003-01-01	92677.30	2003-01-01	43693.14	2003-01-01	3446398.00	2003-01-01	1680794.86	2003-01-01	5.500	6.641939318
2004-01-01	4.274	2004-01-01	4.140791666666670	2004-01-01	2.677236693091730	2004-01-01	2.2862170680167500	2004-01-01	98552.00	2004-01-01	45338.52	2004-01-01	3779365.00	2004-01-01	1760736.11	2004-01-01	5.125	7.377683617
2005-01-01	4.290	2005-01-01	3.440875000000000	2005-01-01	3.392746845495470	2005-01-01	2.4876966516408600	2005-01-01	104965.60	2005-01-01	47137.82	2005-01-01	4101630.00	2005-01-01	1853222.15	2005-01-01	3.100	8.117936543
2006-01-01	4.792	2006-01-01	3.859516666666670	2006-01-01	3.225944100704070	2006-01-01	2.6663149457707200	2006-01-01	111124.20	2006-01-01	49223.49	2006-01-01	4334233.00	2006-01-01	2010972.76	2006-01-01	3.825	8.030260216
2007-01-01	4.629	2007-01-01	4.331700000000000	2007-01-01	2.852672481501360	2007-01-01	2.5106656524033900	2007-01-01	116477.10	2007-01-01	51334.46	2007-01-01	4378212.00	2007-01-01	2169175.13	2007-01-01	3.675	8.790994298
2008-01-01	3.667	2008-01-01	4.356000000000000	2008-01-01	3.839100296651010	2008-01-01	4.1649719352477000	2008-01-01	119716.00	2008-01-01	52938.70	2008-01-01	4143540.00	2008-01-01	2192892.36	2008-01-01	4.975	7.297089902
2009-01-01	3.257	2009-01-01	4.028858333333330	2009-01-01	-0.355546266299750	2009-01-01	0.8392622467938400	2009-01-01	118106.30	2009-01-01	51999.78	2009-01-01	3529316.00	2009-01-01	1947118.51	2009-01-01	6.100	3.506070696
2010-01-01	3.214	2010-01-01	3.780933333333330	2010-01-01	1.640043442389890	2010-01-01	1.5311227042092400	2010-01-01	122230.20	2010-01-01	53284.17	2010-01-01	3788644.00	2010-01-01	1960370.12	2010-01-01	6.550	4.531373105
2011-01-01	2.786	2011-01-01	4.307666666666670	2011-01-01	3.156841568622060	2011-01-01	3.2894493956421200	2011-01-01	127693.50	2011-01-01	54563.23	2011-01-01	3990408.00	2011-01-01	2021069.29	2011-01-01	7.175	5.156177487
2012-01-01	1.803	2012-01-01	3.047483333333330	2012-01-01	2.069337265260590	2012-01-01	2.6628416550801700	2012-01-01	132081.90	2012-01-01	54971.09	2012-01-01	4320660.00	2012-01-01	1979440.80	2012-01-01	8.850	4.897046031
2013-01-01	2.351	2013-01-01	3.011558333333330	2013-01-01	1.464832655627140	2013-01-01	1.2199934227430500	2013-01-01	135806.40	2013-01-01	55220.44	2013-01-01	4540536.00	2013-01-01	1939766.58	2013-01-01	6.400	5.308910096
2014-01-01	2.541	2014-01-01	2.282608333333330	2014-01-01	1.622222977408210	2014-01-01	0.1993438265708490	2014-01-01	141873.00	2014-01-01	55965.46	2014-01-01	4807244.00	2014-01-01	1980737.18	2014-01-01	7.350	6.077348478
2015-01-01	2.136	2015-01-01	1.271158333333330	2015-01-01	0.118627135552435	2015-01-01	-0.0616446800641176	2015-01-01	147569.70	2015-01-01	57187.87	2015-01-01	5074318.00	2015-01-01	2092459.00	2015-01-01	7.550	6.260134851
2016-01-01	1.842	2016-01-01	0.930625000000000	2016-01-01	1.261583205705370	2016-01-01	0.1833348611238480	2016-01-01	153239.40	2016-01-01	58589.72	2016-01-01	5082850.00	2016-01-01	2191781.60	2016-01-01	6.850	6.226822899
2017-01-01	2.330	2017-01-01	1.172958333333330	2017-01-01	2.130110003659630	2017-01-01	1.4291074331929700	2017-01-01	160084.20	2017-01-01	60413.38	2017-01-01	5326805.00	2017-01-01	2312053.54	2017-01-01	7.200	7.195306114
2018-01-01	2.910	2018-01-01	1.266583333333330	2018-01-01	2.442583296928180	2018-01-01	1.7386086198818100	2018-01-01	167919.40	2018-01-01	62227.45	2018-01-01	5713732.00	2018-01-01	2431284.89	2018-01-01	7.875	7.784207539
2019-01-01	2.144	2019-01-01	0.586941666666667	2019-01-01	1.812210075260150	2019-01-01	1.6305226075433800	2019-01-01	174535.40	2019-01-01	63779.52	2019-01-01	5931778.00	2019-01-01	2624261.60	2019-01-01	7.550	7.10603473
